Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6913bc2ced0fb79840ce2786,5e6a923f59a3bd04d5edc606,RETURNED,Not Applicable,2025-11-11T22:44:05.182000Z,,,,,,3571,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913bc38e752bc351d7d0b45,5c5d306d935f3500016f64ac,RETURNED,Not Applicable,2025-11-11T22:44:11.850000Z,,,,,,4537,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913bc65b01d03e301e54358,678f891d24aaca1f40d5cb0e,RETURNED,Not Applicable,2025-11-11T22:44:57.967000Z,,,,,,1244,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913bc9399d9a4aa3b4b9520,6792ae75a1d32bb9534a819f,RETURNED,Not Applicable,2025-11-11T22:46:05.163000Z,,,,,,851,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913bc9b5f8ddb6b3ff2ae88,5c726173c66879000152e516,RETURNED,Not Applicable,2025-11-11T22:45:50.859000Z,,,,,,234,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913bca2b1960387ea91b5e9,631610af8e747093cd90e00d,RETURNED,Not Applicable,2025-11-11T22:45:58.746000Z,,,,,,4766,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913bcb852cc2d93c68f7afe,5a2c51740a1e6b00016952c8,RETURNED,Not Applicable,2025-11-11T22:47:01.891000Z,,,,,,3473,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913bdb84865275bb0a88ed3,67151b09180ba43415c564e8,RETURNED,Not Applicable,2025-11-11T22:51:40.764000Z,,,,,,783,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913be280da869e6e8c53b16,5a9bbda1f6dfdd0001ea9639,RETURNED,Not Applicable,2025-11-11T22:52:34.851000Z,,,,,,2266,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913be40989ea229bc5d7794,604822031f4666160f00b04a,RETURNED,Not Applicable,2025-11-11T22:52:52.834000Z,,,,,,2608,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913c01a2d1dbc878d552e22,609a3eb31cacec1cad4b9448,RETURNED,Not Applicable,2025-11-11T23:00:47.669000Z,,,,,,1518,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913c0c210142b22af22b584,55198e94fdf99b36282b8a38,RETURNED,Not Applicable,2025-11-11T23:04:20.445000Z,,,,,,2182,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913c116822af240d8bedd25,66a356f556472a46c90f7f44,RETURNED,Not Applicable,2025-11-11T23:04:54.440000Z,,,,,,1537,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913c1ff35ba806842ec08d4,58584aa98604ae000165e633,RETURNED,Not Applicable,2025-11-11T23:08:52.170000Z,,,,,,3031,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913c2283ff106790670da34,5f035c7ce9d86254e87992e4,RETURNED,Not Applicable,2025-11-11T23:09:32.120000Z,,,,,,2423,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913c2699e1301c10e833b44,676580dc3295097751741abc,RETURNED,Not Applicable,2025-11-11T23:10:38.790000Z,,,,,,311,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913c363d15bf5cf05dd2be5,6533d0faaaf6d193fc2bf4f1,RETURNED,Not Applicable,2025-11-11T23:14:49.025000Z,,,,,,698,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6913c3d2ff84e1112c2ce7a4,5c4782d9cae0ab000188d2b4,RETURNED,Not Applicable,,,,,,,4635,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
